station,latitude [degree],longitude [degree],height of station ground above mean sea level [m]
2595,57.33,18.26,35
2598,57.26,18.59,5
2602,56.24,12.57,140
2603,56.52,12.40,47
2605,56.27,12.33,10
2607,56.18,12.51,37
2609,55.28,13.40,50
2611,56.02,12.46,44
2615,55.23,12.49,4
2616,55.23,12.49,5
2618,56.57,13.04,135
2622,56.51,13.53,148
2623,55.52,13.40,114
2625,55.29,14.19,5
2628,56.01,14.51,60
2629,56.16,13.56,104
2632,55.57,15.42,2
2635,55.34,13.04,21
2636,55.31,13.23,73
2644,56.12,16.24,3
2648,56.51,14.50,200
2652,56.01,14.06,10
2661,56.51,15.28,232
2664,56.16,15.16,58
2667,56.09,15.35,4
2670,56.41,16.18,4
2679,56.55,18.09,36
2701,69.03,20.51,1009
2702,69.08,27.16,156
2704,61.07,24.19,87
2705,67.01,27.13,488
2706,60.15,24.03,37
2708,62.11,22.48,161
2710,62.55,26.25,120
2713,61.13,25.08,136
2714,64.30,26.25,115
2717,68.10,25.47,275
2718,61.31,28.11,98
2719,67.49,27.45,240
2720,67.42,24.51,191
2721,63.57,22.51,6
2722,68.25,27.25,302
2723,67.47,24.51,200
2724,60.07,20.18,13
2725,63.27,24.27,153
2726,68.36,23.35,371
2727,61.16,25.31,76
2732,62.48,27.54,87
2733,61.02,28.34,46
2734,61.27,29.28,75
2735,62.20,23.33,140
2736,61.54,27.53,112
2737,63.49,24.10,85
2738,63.44,25.42,153
2739,64.07,28.20,163
2741,60.11,19.59,13
2743,59.52,22.12,8
2744,61.30,23.46,92
2745,67.10,29.11,215
2746,59.49,22.55,28
2747,60.23,22.06,6
2748,62.10,27.52,83
2749,66.19,29.24,298
2750,59.51,23.15,3
2751,61.38,21.23,5
2752,62.12,21.10,22
2753,61.50,22.28,123
2754,61.00,24.29,85
2755,64.03,24.43,76
2756,60.22,23.07,2
2757,59.49,23.34,23
2758,60.25,24.24,44
2759,60.24,25.36,24
2760,66.10,29.08,307
2761,61.09,21.18,29
2763,61.28,23.45,86
2764,68.00,24.13,270
2765,61.42,25.30,83
2766,63.09,31.03,237
2767,61.03,25.02,125
2768,61.12,26.03,92
2769,62.25,22.11,95
2770,61.51,24.17,153
2771,61.53,26.06,146
2772,62.04,28.34,80
2773,60.27,22.11,9
2774,60.38,25.12,85
2777,60.28,23.39,121
2778,61.48,29.19,80
2780,62.56,21.11,3
2781,62.59,20.44,4
2787,63.05,24.16,171
2788,63.09,27.19,91
2789,63.23,28.40,166
2790,60.15,20.45,23
2791,63.14,29.14,115
2793,62.33,29.40,80
2794,59.55,24.21,2
2795,60.06,24.59,6
2796,63.19,30.03,98
2797,64.09,25.25,112
2798,63.40,28.50,115
2799,64.18,30.10,198
2800,64.37,23.54,24
2801,69.03,20.47,483
2803,64.41,25.05,50
2804,65.34,28.13,197
2805,69.45,27.00,106
2807,68.37,27.25,145
2811,66.22,29.19,165
2812,66.32,24.39,93
2813,66.35,26.01,107
2814,66.43,27.10,209
2815,67.17,28.11,180
2816,68.05,27.11,249
2817,68.26,27.27,438
2818,68.29,28.18,255
2819,67.45,29.37,360
2820,68.04,24.02,762
2821,67.58,24.07,566
2823,67.57,23.41,253
2824,67.59,24.15,350
2825,70.05,27.54,22
2827,69.04,27.30,124
2828,60.23,22.33,5
2829,60.36,24.48,88
2830,60.42,26.49,33
2831,60.32,27.40,5
2832,62.14,30.21,90
2833,62.56,22.29,32
2834,63.50,27.13,208
2835,68.51,28.18,123
2836,67.22,26.38,179
2844,66.46,23.58,86
2845,66.34,25.50,194
2847,66.30,25.43,82
2849,66.49,28.41,222
2850,62.19,27.54,84
2851,64.56,25.22,12
2852,63.50,23.06,8
2857,68.54,25.44,285
2858,69.35,28.54,106
2859,64.40,28.03,341
2860,67.39,24.54,181
2862,65.40,24.31,3
2863,65.23,24.06,19
2864,65.47,24.35,15
2866,65.24,26.58,120
2868,66.10,29.09,363
2869,66.00,29.14,266
2872,64.40,24.24,2
2873,65.02,24.34,7
2874,65.01,24.44,7
2875,64.56,25.20,13
2876,65.00,25.24,4
2880,65.51,24.10,9
2881,65.59,26.22,163
2882,68.00,24.14,342
2883,64.13,27.45,162
2888,69.03,27.45,122
2889,64.56,28.45,225
2890,69.45,27.01,76
2897,64.17,27.40,134
2903,63.44,23.09,25
2906,60.10,22.45,12
2907,64.20,23.27,5
2910,63.26,21.04,11
2911,63.04,21.45,8
2913,63.07,23.03,46
2915,63.05,25.52,132
2917,63.00,27.48,97
2919,61.12,28.28,80
2920,63.45,22.31,19
2924,62.33,24.09,160
2926,61.29,21.47,10
2927,62.31,24.48,228
2928,62.36,29.43,82
2929,62.39,29.38,119
2930,60.07,25.13,13
2931,62.20,21.11,5
2935,62.24,25.40,140
2937,61.15,22.21,39
2939,62.46,30.59,157
2942,61.50,22.28,125
2943,61.31,23.45,98
2944,61.25,23.37,109
2945,61.51,24.48,145
2946,61.52,24.49,144
2947,61.41,27.12,100
2948,61.57,28.56,95
2949,60.39,23.48,143
2950,60.07,21.42,5
2952,61.28,21.49,14
2955,62.54,27.38,88
2956,60.53,26.56,100
2957,63.06,21.38,9
2958,61.02,28.08,106
2959,61.03,28.13,114
2963,60.49,23.30,103
2964,60.43,21.02,4
2965,60.58,25.38,79
2966,60.54,26.57,100
2967,60.17,27.11,6
2970,60.08,19.54,6
2972,60.31,22.17,59
2974,60.20,24.57,54
2976,60.23,26.58,13
2978,60.11,24.57,4
2979,59.30,20.21,16
2980,59.58,19.57,10
2981,59.47,21.22,7
2982,59.46,22.57,7
2983,60.31,24.39,113
2984,59.56,24.01,12
2985,60.11,24.47,8
2986,60.17,24.34,92
2987,59.59,25.36,23
2989,59.57,24.56,20
2991,60.12,25.38,27
2992,60.16,26.27,4
2993,60.18,19.08,15
2994,60.18,25.33,2
2997,60.05,19.56,3
2998,60.12,24.58,25
3002,60.45,-0.51,15
3005,60.08,-1.11,82
3008,59.32,-1.38,57
3010,59.05,-4.24,12
3014,60.07,-2.04,22
3017,58.57,-2.54,26
3023,57.21,-7.23,4
3026,58.13,-6.19,8
3031,57.44,-4.54,269
3034,57.52,-5.38,11
3037,57.15,-5.48,18
3039,57.25,-5.41,773
3041,56.49,-4.58,1130
3044,58.17,-4.27,81
3047,56.52,-4.42,249
3062,57.49,-3.58,4
3063,57.12,-3.50,228
3065,57.07,-3.39,1237
3066,57.39,-3.34,5
3068,57.43,-3.19,7
3072,56.53,-3.25,928
3075,58.27,-3.05,36
3080,57.05,-2.50,140
3088,56.51,-2.16,134
3091,57.12,-2.12,66
3092,57.30,-1.46,15
3100,56.30,-6.53,12
3105,55.41,-6.15,17
3111,55.26,-5.42,13
3132,54.52,-4.56,11
3134,55.54,-4.32,59
3136,55.31,-4.35,27
3144,56.20,-3.44,35
3148,56.25,-4.19,564
3153,54.48,-4.00,113
3155,55.38,-3.44,245
3158,55.43,-2.23,112
3162,55.19,-3.12,236
3166,55.56,-3.21,57
3171,56.23,-2.52,10
3204,54.05,-4.38,16
3210,54.31,-3.37,124
3212,54.37,-3.09,81
3214,54.08,-3.15,15
3220,54.56,-2.58,28
3224,55.03,-2.33,285
3225,54.30,-2.41,252
3226,54.34,-2.25,227
3227,54.41,-2.27,847
3230,55.17,-2.17,211
3238,55.01,-1.53,142
3240,55.25,-1.36,23
3257,54.18,-1.32,33
3261,54.08,-1.25,33
3265,54.12,-1.23,25
3266,54.03,-1.15,14
3275,54.34,-0.52,158
3281,54.22,-0.40,262
3292,54.06,-0.11,15
3301,53.16,-4.23,60
3302,53.15,-4.32,11
3305,53.06,-3.56,216
3313,53.16,-3.31,77
3316,53.30,-3.03,9
3318,53.46,-3.02,10
3321,53.10,-2.59,10
3330,53.08,-1.59,298
3344,53.49,-1.52,262
3346,53.37,-1.40,267
3351,53.22,-2.23,35
3354,53.00,-1.15,117
3373,53.18,-0.33,57
3377,53.11,-0.31,70
3379,53.02,-0.30,63
3382,53.52,-0.27,7
3385,53.28,0.09,8
3391,53.06,-0.10,6
3392,53.05,0.16,3
3405,52.47,-4.44,95
3409,52.54,-3.35,163
3410,52.45,-3.28,360
3414,52.48,-2.40,72
3462,52.37,-0.28,73
3469,52.52,0.08,3
3482,52.39,0.34,21
3488,52.57,1.07,21
3502,52.08,-4.34,133
3503,52.21,-3.57,63
3507,52.04,-3.37,307
3520,52.15,-2.53,99
3522,52.05,-2.48,76
3529,52.09,-2.02,35
3535,52.29,-1.41,96
3544,52.22,-1.20,107
3560,52.14,-0.28,85
3590,52.07,0.57,90
3604,51.43,-5.03,44
3605,51.43,-4.22,7
3609,51.34,-3.59,43
3628,51.31,-2.35,59
3647,51.52,-1.42,210
3649,51.45,-1.35,82
3658,51.37,-1.06,57
3660,51.41,-0.48,204
3672,51.33,-0.25,33
3680,51.48,-0.21,128
3684,51.54,0.27,87
3693,51.33,0.50,2
3707,51.05,-4.09,6
3710,51.05,-3.37,348
3716,51.24,-3.26,49
3740,51.30,-2.00,145
3743,51.12,-1.48,132
3746,51.10,-1.45,126
3749,51.09,-1.34,90
3761,51.14,-0.57,118
3768,51.17,-0.46,65
